Time,Open,High,Low,Close,Trades,Volume,BidVolume,AskVolume,PriceAction
2023-02-02 08:45:06.022000-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.086000-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.086001-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.167000-06:00,-1.999001e+37,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:06.167001-06:00,-1.999002e+37,4162.75,4162.5,4162.5,1,3,3,0,Neutral
2023-02-02 08:45:06.228000-06:00,0.0,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:06.381000-06:00,-1.999001e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381001-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381002-06:00,-1.999002e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381003-06:00,-1.999001e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381004-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381005-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381006-06:00,-1.999002e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381007-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381008-06:00,-1.999001e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.381009-06:00,-1.999002e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.486000-06:00,-1.999001e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.486001-06:00,-1.999002e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.508000-06:00,0.0,4163.0,4162.75,4162.75,1,1,1,0,Neutral
2023-02-02 08:45:06.569000-06:00,0.0,4163.0,4162.75,4162.75,1,1,1,0,Neutral
2023-02-02 08:45:06.608000-06:00,0.0,4163.0,4162.75,4163.0,1,1,0,1,Neutral
2023-02-02 08:45:06.618000-06:00,-1.999001e+37,4163.0,4162.75,4162.75,1,3,3,0,Neutral
2023-02-02 08:45:06.618001-06:00,-1.999002e+37,4163.0,4162.75,4162.75,1,1,1,0,Neutral
2023-02-02 08:45:06.618002-06:00,0.0,4163.0,4162.75,4162.75,1,1,1,0,Neutral
2023-02-02 08:45:06.802000-06:00,0.0,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:06.819000-06:00,-1.999001e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:06.819001-06:00,-1.999002e+37,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:07.115000-06:00,0.0,4162.75,4162.5,4162.75,1,1,0,1,Neutral
2023-02-02 08:45:07.129000-06:00,0.0,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:07.129001-06:00,0.0,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:07.129002-06:00,-1.999001e+37,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:07.129003-06:00,0.0,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:07.129004-06:00,0.0,4162.75,4162.5,4162.5,1,1,1,0,Neutral
2023-02-02 08:45:07.129005-06:00,0.0,4162.75,4162.5,4162.5,1,2,2,0,Neutral
2023-02-02 08:45:07.129006-06:00,-1.999002e+37,4162.75,4162.5,4162.5,1,1,1,0,Neutral
