Time,Open,High,Low,Close,Trades,Volume,BidVolume,AskVolume,PriceAction
2023-02-02 08:44:06.166000-06:00,0.0,4163.5,4163.25,4163.5,1,2,0,2,Neutral
2023-02-02 08:44:06.553000-06:00,-1.999001e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553001-06:00,0.0,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553002-06:00,0.0,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553003-06:00,-1.999002e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553004-06:00,-1.999001e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553005-06:00,-1.999002e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553006-06:00,-1.999001e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553007-06:00,0.0,4163.5,4163.25,4163.25,1,2,2,0,Neutral
2023-02-02 08:44:06.553008-06:00,-1.999002e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553009-06:00,-1.999001e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553010-06:00,0.0,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553011-06:00,-1.999002e+37,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553012-06:00,0.0,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.553013-06:00,0.0,4163.5,4163.25,4163.25,1,2,2,0,Neutral
2023-02-02 08:44:06.554000-06:00,0.0,4163.5,4163.25,4163.25,1,2,2,0,Neutral
2023-02-02 08:44:06.554001-06:00,0.0,4163.5,4163.25,4163.25,1,2,2,0,Neutral
2023-02-02 08:44:06.554002-06:00,0.0,4163.5,4163.25,4163.25,1,1,1,0,Neutral
2023-02-02 08:44:06.554003-06:00,0.0,4163.25,4163.0,4163.25,1,4,0,4,Neutral
2023-02-02 08:44:06.558000-06:00,0.0,4163.25,4163.0,4163.25,1,1,0,1,Neutral
2023-02-02 08:44:06.682000-06:00,0.0,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700000-06:00,-1.999001e+37,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700001-06:00,-1.999002e+37,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700002-06:00,-1.999001e+37,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700003-06:00,-1.999002e+37,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700004-06:00,-1.999001e+37,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700005-06:00,0.0,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700006-06:00,0.0,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.700007-06:00,-1.999002e+37,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.764000-06:00,-1.999001e+37,4163.75,4163.5,4163.5,1,1,1,0,Neutral
2023-02-02 08:44:06.764001-06:00,-1.999002e+37,4163.75,4163.5,4163.5,1,1,1,0,Neutral
2023-02-02 08:44:06.764002-06:00,-1.999001e+37,4163.75,4163.5,4163.5,1,1,1,0,Neutral
2023-02-02 08:44:06.764003-06:00,-1.999002e+37,4163.75,4163.5,4163.5,1,1,1,0,Neutral
2023-02-02 08:44:06.767000-06:00,0.0,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.808000-06:00,-1.999001e+37,4163.75,4163.5,4163.5,1,1,1,0,Neutral
2023-02-02 08:44:06.808001-06:00,0.0,4163.75,4163.5,4163.5,1,1,1,0,Neutral
2023-02-02 08:44:06.808002-06:00,-1.999002e+37,4163.75,4163.5,4163.5,1,1,1,0,Neutral
2023-02-02 08:44:06.949000-06:00,0.0,4163.5,4163.25,4163.5,1,1,0,1,Neutral
2023-02-02 08:44:06.949001-06:00,-1.999001e+37,4163.5,4163.25,4163.5,1,1,0,1,Neutral
