Time,Open,High,Low,Close,Trades,Volume,BidVolume,AskVolume
2023-02-17 09:36:20.003000-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.034000-06:00,0.0,4084.25,4084.0,4084.0,1,1,1,0
2023-02-17 09:36:20.104000-06:00,-1.999001e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.104001-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.104002-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.104003-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.104004-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.104005-06:00,-1.999002e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.282000-06:00,-1.999001e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.282001-06:00,0.0,4084.25,4084.0,4084.25,1,2,0,2
2023-02-17 09:36:20.282002-06:00,-1.999002e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.291000-06:00,0.0,4084.25,4084.0,4084.0,1,1,1,0
2023-02-17 09:36:20.428000-06:00,-1.999001e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.428001-06:00,-1.999002e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.428002-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.428003-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.428004-06:00,-1.999001e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.428005-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.428006-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.428007-06:00,-1.999002e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.431000-06:00,-1.999001e+37,4084.5,4084.25,4084.25,1,1,1,0
2023-02-17 09:36:20.431001-06:00,0.0,4084.5,4084.25,4084.25,1,1,1,0
2023-02-17 09:36:20.431002-06:00,0.0,4084.5,4084.25,4084.25,1,1,1,0
2023-02-17 09:36:20.431003-06:00,-1.999002e+37,4084.5,4084.25,4084.25,1,1,1,0
2023-02-17 09:36:20.452000-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.511000-06:00,0.0,4084.25,4084.0,4084.0,1,5,5,0
2023-02-17 09:36:20.552000-06:00,-1.999001e+37,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.552001-06:00,0.0,4084.25,4084.0,4084.25,1,3,0,3
2023-02-17 09:36:20.552002-06:00,-1.999002e+37,4084.25,4084.0,4084.25,1,6,0,6
2023-02-17 09:36:20.552003-06:00,0.0,4084.25,4084.0,4084.25,1,7,0,7
2023-02-17 09:36:20.552004-06:00,-1.999001e+37,4084.25,4084.0,4084.25,1,5,0,5
2023-02-17 09:36:20.552005-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
2023-02-17 09:36:20.552006-06:00,0.0,4084.25,4084.0,4084.25,1,1,0,1
