2023-02-17 10:21:32-06:00,-1.9990009513251226e+37,4061.0,4059.75,4060.25,1298,795,894,404
2023-02-17 10:25:01-06:00,0.0,4059.25,4057.25,4059.0,1855,990,1120,735
2023-02-17 10:27:34-06:00,0.0,4059.75,4057.75,4059.25,1256,683,858,398
2023-02-17 10:32:56-06:00,-1.9990009513251226e+37,4058.0,4056.5,4057.0,2659,1272,1701,958
2023-02-17 10:54:00-06:00,0.0,4062.75,4061.0,4061.25,997,560,727,270
2023-02-17 10:57:21-06:00,-1.9990009513251226e+37,4060.25,4058.5,4059.25,1196,672,891,305
2023-02-17 11:19:35-06:00,0.0,4071.25,4069.75,4070.25,1367,822,1008,359
2023-02-17 11:43:49-06:00,-1.9990009513251226e+37,4065.5,4064.0,4064.25,771,426,637,134
2023-02-17 11:52:42-06:00,0.0,4057.25,4055.75,4056.25,1726,949,1160,566
2023-02-17 12:07:09-06:00,0.0,4060.5,4059.25,4059.5,764,384,641,123
2023-02-17 13:14:02-06:00,0.0,4067.5,4066.25,4066.75,1037,630,644,393
2023-02-17 13:52:53-06:00,-1.9990009513251226e+37,4085.0,4083.75,4084.5,1183,598,812,371
2023-02-17 14:48:00-06:00,0.0,4081.0,4080.0,4080.75,980,463,610,370
